oldLine ,newLine 
1,1
2,2
3,3
4,4
5,9
6,5
7,6
8,7
9,8
10,10
11,11
12,12
13,13
14,14
15,15
16,16
17,17
18,18
19,19
20,20
21,21
22,22
23,23
24,24
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
37,37
38,38
39,39
40,40
41,41
42,45
43,46
44,47
45,49
46,50
47,51
48,52
49,53
50,54
51,55
52,44
53,56
54,57
55,58
58,103
60,59
61,60
62,61
63,62
64,63
65,64
66,65
67,66
68,67
69,68
70,69
71,70
72,71
73,72
74,73
75,74
76,75
77,76
78,77
79,78
80,79
81,80
82,81
83,82
84,83
85,84
86,85
87,86
88,87
89,95
90,90
91,91
92,92
93,93
94,94
95,95
96,90
97,96
98,97
99,98
100,99
101,100
102,101
103,102
104,108
105,104
106,105
107,106
108,107
109,112
110,109
111,110
112,111
113,118
114,119
115,120
116,113
